Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,0.003708464170864817,0.005825208952615023,0.0,0.0,,,,
Public–Proprietary,-0.0038129594456622192,-0.0059893468823019195,0.0,0.0,,,,
Private–Proprietary,0.019110872049458456,0.030014779135274942,0.0,0.0,,,,
P(>q) conj. pares,,,,,0.002967359050445104,0.0019782393669634025,0.0019782393669634025,0.0
