Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,0.014023284762761417,0.022025942853781864,0.0,0.0,,,,
Public–Proprietary,-0.0038828398930594726,-0.00609911282725429,0.0,0.0,,,,
Private–Proprietary,0.010973968903077967,0.0172370163672535,0.0,0.0,,,,
P(>q) conj. pares,,,,,0.003956478733926805,0.0,0.0019782393669634025,0.0
