Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,-0.005268464725762584,-0.008275590576644162,0.03210481527644078,0.03210481527644078,,,,
Public–Proprietary,0.022032216492517298,0.03460121666419259,0.037785990916634274,0.037785990916634274,,,,
Private–Proprietary,0.03826806244609869,0.06007513769413274,0.04151705871072818,0.04151705871072818,,,,
P(>q) conj. pares,,,,,0.0019782393669634025,0.006923837784371909,0.00791295746785361,0.0
