Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,0.014503722565266119,0.022780423362103022,0.0012475026644541945,0.0012475026644541945,,,,
Public–Proprietary,-0.04430976690057345,-0.06954543652113278,0.0005639434358174059,0.0005639434358174059,,,,
Private–Proprietary,-0.02377028101789802,-0.03732959487864451,0.0007498513427680119,0.0007498513427680119,,,,
P(>q) conj. pares,,,,,0.0019782393669634025,0.003956478733926805,0.0009891196834817012,0.0
