Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,0.01075544700199761,0.01689381295560353,0.0,0.0,,,,
Public–Proprietary,-0.02778434778081352,-0.043629697677165215,0.0,0.0,,,,
Private–Proprietary,0.0049505323933207385,0.007776199726772134,0.0,0.0,,,,
P(>q) conj. pares,,,,,0.004945598417408506,0.0,0.0009891196834817012,0.0
