Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,-0.004888235140756478,-0.007678346352893773,0.014406221986593411,0.014406221986593411,,,,
Public–Proprietary,0.021304305274500515,0.03345847869715366,0.017559628739791833,0.017559628739791833,,,,
Private–Proprietary,0.03791210783625106,0.05951700601117762,0.01983671617536355,0.01983671617536355,,,,
P(>q) conj. pares,,,,,0.005934718100890208,0.004945598417408506,0.005934718100890208,0.0
