Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,0.014807705866408252,0.023257792686046625,6.085540969804715e-06,6.085540969804715e-06,,,,
Public–Proprietary,-0.044583798185985346,-0.0699748351960115,1.3288667787343222e-06,1.3288667787343222e-06,,,,
Private–Proprietary,-0.023765699583090764,-0.03732240339261648,2.3004160259994273e-06,2.3004160259994273e-06,,,,
P(>q) conj. pares,,,,,0.005934718100890208,0.0,0.002967359050445104,0.0
