Par,tau_copula,rho_model,lambda_L,lambda_U,P12,P13,P23,P123
Public–Private,0.011295057122692105,0.017741303416832964,0.0,0.0,,,,
Public–Proprietary,-0.02721007851935026,-0.04272847896927873,0.0,0.0,,,,
Private–Proprietary,-0.004437847093721969,-0.0069708974558467226,0.0,0.0,,,,
P(>q) conj. pares,,,,,0.003956478733926805,0.0,0.0009891196834817012,0.0
